amount, company, location
100000000, "Shopify Inc.", "Ottawa"
85000000, "Desire2Learn Inc.", "Kitchener"
80000000, "BuildDirect Technologies Inc.", "Vancouver"
62000000, "D-Wave Systems Inc.", "Burnaby"
60000000, "Hootsuite Media Inc.", "Vancouver"
51500000, "WP Technology Inc.", "Toronto"
38000000, "Kik Interactive Inc.", "Kitchener"
35000000, "Lightspeed POS Inc.", "Montreal"
31000000, "SHOP.CA Network Inc.", "Toronto"
30000000, "Miovision Technologies Inc.", "Waterloo"
30000000, "2NDSITE Inc.", "Toronto"
24000000, "Ranovus Inc.", "Ottawa"
23000000, "Slyce Inc.", "Calgary"
22000000, "BlackBridge Group", "Lethbridge"
20000000, "Themis Solutions Inc.", "Vancouver"
18000000, "Buildscale Inc.", "Kitchener"
19500000, "Vision Critical Communications Inc.", "Vancouver"
15000000, "MODASUITE Inc.", "Montreal"
14000000, "eSentire Inc.", "Cambridge"
14000000, "Bionym Inc.", "Toronto"
12000000, "Scribble Technologies Inc.", "Toronto"
